,Titles,Brands,Prices,Stars,Urls,Ratings,Review_Words
45,KOSS 175481 / Koss KE5k Earphone,Visit the Koss Store,$14.60,No Review,/KOSS-175481-Koss-KE5k-Earphone/dp/B00FAQQAQM/ref=sr_1_33?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298254&refinements=p_89%3AKoss&rnid=2528832011&s=electronics&sr=1-33,No Ratings,['No Review']
46,"Samsung Galaxy Buds+Plus, True Wireless Earbuds w/Improved Battery and Call Quality, Black – US Version with 10,000 mAh Super Fast 25W Portable Wireless Charger USB-C, Silver (US Version+Warranty)",Visit the SAMSUNG Store,No Price,No Review,/Samsung-Wireless-Earbuds-Improved-Battery/dp/B08C65BLGX/ref=sr_1_58?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298299&refinements=p_89%3ASAMSUNG&rnid=2528832011&s=electronics&sr=1-58,No Ratings,['No Review']
47,Jabra Sport Pace Wireless Bluetooth Earbuds - U.S. Retail Packaging (Renewed),Visit the Amazon Renewed Store,$43.99,3.6 out of 5,/Jabra-Sport-Wireless-Bluetooth-Earbuds/dp/B07SYL3JWS/ref=sr_1_14?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AJabra&rnid=2528832011&s=electronics&sr=1-14,10 ratings,['No Review']
48,Audio Technica ATH-CKS55 BLACK & RED | SOLID BASS SYSTEM Inner Ear Headphones (Japan Import),Visit the Audio-Technica Store,No Price,3.6 out of 5,/Audio-Technica-ATH-CKS55-SYSTEM-Headphones/dp/B004UTSDBK/ref=sr_1_72?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298629&refinements=p_89%3AAudio-Technica&rnid=2528832011&s=electronics&sr=1-72,19 ratings,['No Review']
49,JLab Audio Metal Wired Rugged Earbuds | Titanium 8mm Drivers | Universal Mic for iPhone & Android | Noise Isolation | Cable Clip | IP55 Sweat Proof Rating Extra Gel Tips & Cush Fins | Black,Visit the JLAB Store,No Price,4 out of 5,/Earbuds-Titanium-Drivers-Universal-Isolation/dp/B00ICR0M6U/ref=sr_1_29?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298365&refinements=p_89%3AJLAB&rnid=2528832011&s=electronics&sr=1-29,40 ratings,"['stopped working', 'earbuds', 'headphones', 'ear', 'lasted', 'broke']"
50,Pioneer Neck Band Type Bluetooth Earphone SE-C7BT-G (Champaign Gold)【Japan Domestic Genuine Products】 【Ships from Japan】,Visit the Pioneer Store,$81.30,4 out of 5,/Bluetooth-Earphone-SE-C7BT-G-CHAMPAIGN-products%E3%80%91/dp/B079DC5KLQ/ref=sr_1_12?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3APIONEER&rnid=2528832011&s=electronics&sr=1-12,23 ratings,['No Review']
51,"Monster Clarity 550 LT Wireless Earbuds, True Wireless Earbuds with 4 Noise Cancellation Mics Support Clear Phone Call，Type-C and Wireless Quick Charge, 24H Playtime, IPX5 Water Resistant",Visit the Monster Store,$79.99,4.3 out of 5,/Monster-Wireless-Cancellation-Call%EF%BC%8CType-C-Resistant/dp/B08DFPCXR8/ref=sr_1_3?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AMonster&rnid=2528832011&s=electronics&sr=1-3,8 ratings,['No Review']
52,Jabra Evolve 75e MS Bluetooth Wireless in-Ear Earphones,Visit the Jabra Store,$12.99,3.7 out of 5,/Jabra-Evolve-75e-Accessory-Pack/dp/B078SQMVSB/ref=sr_1_9?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AJabra&rnid=2528832011&s=electronics&sr=1-9,213 ratings,"['noise cancelling', 'battery life', 'noise cancellation', 'sound quality', 'listening to music', 'active noise', 'usb dongle', 'earbuds', 'much better', 'skype for business', 'firmware update', 'earphone started', 'wireless earphones']"
53,Jabra VOX Corded Stereo Headphones,Visit the Jabra Store,No Price,3.3 out of 5,/Jabra-VOX-Corded-Stereo-Headphones/dp/B00BFNYD90/ref=sr_1_29?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298475&refinements=p_89%3AJabra&rnid=2528832011&s=electronics&sr=1-29,59 ratings,"['sound quality', 'volume control', 'smart phone', 'wired headsets', 'left right', 'nice feature', 'well constructed', 'highly recommend', 'corded stereo', 'stereo wired', 'feel like', 'high end', 'pause play']"
54,JVC Premium Splashproof Bluetooth Wireless Extra Bass Sports in-Ear Noise-Canceling Headphones (Black),Visit the JVC Store,No Price,2.8 out of 5,/JVC-Splashproof-Bluetooth-Noise-Canceling-Headphones/dp/B06WD8GP61/ref=sr_1_168?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298754&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-168,4 ratings,['No Review']
